"inn"@;@"name"@;@"region_soato"@;@"district_soato"
"307615763"@;@"""OLIMJON   OTA  TEXTILE"" MCHJ"@;@"1703"@;@"1703211"
"309731817"@;@"OOO "" FAREZ WOOD"""@;@"1727"@;@
"301984175"@;@"""GO`ZAL VODIY MATOSI"" MCHJ"@;@"1730"@;@"1730412"
"302424522"@;@"""MEDINATOWN"" MCHJ"@;@"1726"@;@"1726280"
"305241599"@;@"""GIDROTAMIR"" MCHJ"@;@"1706"@;@"1706204"
"306638387"@;@"""GRAND ANODE ZASHITA"" MCHJ"@;@"1726"@;@"1726287"
"309791331"@;@"""BANDIXON SAROY ZAFAR"" XK"@;@"1722"@;@"1722203"
"305539352"@;@"""STANDART MATRAS INDUSTRY"" MCHJ"@;@"1727"@;@"1727237"
"305808587"@;@"""UT-TRADER"" MCHJ"@;@"1712"@;@"1712401"
"306487781"@;@Astech Stroy Solution OOO@;@"1726"@;@
"207144181"@;@"""DEVELOPMENT - B"" MCHJ"@;@"1708"@;@"1708212"
"310016693"@;@"""NEW-GEO-TEK"" MCHJ"@;@"1726"@;@"1726269"
"308473514"@;@"""JAMSHIDBEK JASURBEK EGAMBERDIYEV"" MCHJ"@;@"1710"@;@"1710237"
"309187346"@;@"""MINDON PATIR"" XK"@;@"1730"@;@"1730233"
"305604826"@;@"OOO ""SINO MACHINERY GROUP"""@;@"1727"@;@
"308802443"@;@OOO ?CHEMICAL-SOLUTIONS-GROUP?@;@"1726"@;@
"305933630"@;@"ЧП ""ASR TEX"""@;@"1726"@;@
"302388955"@;@"""XOMASHYO-SIFAT SERVIS "" XK"@;@"1712"@;@"1712216"
"307129441"@;@"""MERKURIY - SANOAT - SERVIS"" MCHJ"@;@"1724"@;@"1724235"
"308343840"@;@"""DAIRY DREAM GROUP"" MCHJ"@;@"1727"@;@"1727248"
"306250319"@;@"""INSOMAT"" MCHJ"@;@"1727"@;@"1727248"
"310978344"@;@"ООО ""AGRO SIFAT TEXNIKA"""@;@"1727"@;@
"308502563"@;@"""BESH OG`AYNI SURXON"" OK"@;@"1722"@;@"1722220"
"305475964"@;@"OOO ""MAGICCHEM"""@;@"1726"@;@
"311075691"@;@"""MOY 999"" OK"@;@"1718"@;@"1718406"
"301537224"@;@"""PREMIUM LEATHER"" MCHJ"@;@"1730"@;@"1730405"
"305266432"@;@"""METALL PLUS"" MCHJ"@;@"1726"@;@"1726294"
"307341314"@;@"ООО ""PHARM HOLDING LUXE"""@;@"1718"@;@
"310300966"@;@"""XUSAN UMIRZOQ BOBO O'G'LI"" MCHJ"@;@"1718"@;@"1718224"
"308596029"@;@"""SHOXBOZI  DILSHUX"" MCHJ"@;@"1730"@;@"1730226"
"201677195"@;@"""TERMIZ DAVLAT UNIVERSITETI NASHR-MATBAA MARKAZI"" MCHJ"@;@"1722"@;@"1722401"
"200494100"@;@"""SAHOVAT"" MCHJ QK"@;@"1722"@;@"1722217"
"306768581"@;@OOO AGG AGRO-GREENHOUSE GROUP@;@"1726"@;@
"306192121"@;@"ООО ""AGRO-VESNA"""@;@"1730"@;@
"311616072"@;@"""BEK ART BARAKA"" MCHJ"@;@"1703"@;@"1703217"
"307633568"@;@"""MIRONSHOX RAVNAQ"" OK"@;@"1706"@;@"1706204"
"200984266"@;@"""AZAMOV N.X."" XK"@;@"1726"@;@"1726266"
"309526864"@;@"""UNIVERSALNIY TORGOVIY PRODAJI"" MCHJ"@;@"1733"@;@"1733401"
"311158872"@;@"""ARTEST"" XK"@;@"1722"@;@"1722226"
"304480793"@;@"ООО ""BSTGROUP SERVICE"""@;@"1726"@;@
"305182633"@;@"""MAX LEVEL"" XK"@;@"1710"@;@"1710401"
"306478491"@;@"ООО ""HIGHEST GOAL INVEST"""@;@"1730"@;@
"310109925"@;@"ООО ""ALTERMEDICA"""@;@"1726"@;@
"306443124"@;@"""WELDED METAL PIPE"" OK"@;@"1726"@;@"1726266"
"311173594"@;@"ООО ""OCEAN WIND"""@;@"1718"@;@
"311045586"@;@"OOO ""EIFFEL MOTOR OIL"""@;@"1726"@;@
"306105038"@;@"""IKKILAMCHIQAYTAISHLASH"" MCHJ"@;@"1726"@;@"1726294"
"310012675"@;@"""LIDER LIBERTEXT STAR"" MCHJ"@;@"1730"@;@"1730224"
"205944138"@;@BUXORO PAXTA URUG`CHILIGI MCHJ@;@"1706"@;@"1706215"
"306256049"@;@KINGSTAR BEST SAVDO  LLC@;@"1714"@;@
"307697006"@;@"""XOSIYAT XUMO RAVNAQI"" OK"@;@"1730"@;@"1730238"
"307349556"@;@"ООО ""AGRO SOLUTIONS CORP"""@;@"1727"@;@
"306376524"@;@"""ELSHOD RASULOV KELAJAGI"" MCHJ"@;@"1724"@;@"1724226"
"204598846"@;@"""TERMIZ TUMAN YO'LLARDAN FOYDALANISH KORXONASI"" DM"@;@"1722"@;@"1722220"
"308257053"@;@"""TPP PHARM"" MCHJ"@;@"1726"@;@"1726294"
"305065334"@;@"ООО ""LIFE OF TECHNOLOGY"""@;@"1718"@;@
"309385678"@;@"""AZALSHOH DIYORI"" OK"@;@"1706"@;@"1706240"
"306813770"@;@"""ELMURODOVLAR 44 00"" OK"@;@"1710"@;@"1710207"
"200129971"@;@"""ЭКОЛОГИЯ"" КК"@;@"1730"@;@"1730405"
"309120406"@;@"""ASBC ENTITY"" MCHJ XK"@;@"1726"@;@"1726277"
"306108168"@;@"""METAL TOOLS LADDERS "" MCHJ"@;@"1726"@;@"1726262"
"304454888"@;@"""SIYOVUSH-SARLOCHIN"" MCHJ"@;@"1712"@;@"1712401"
"307789721"@;@"""ASILBEK-ABUZARBEK KELAJAK SARI"" MCHJ"@;@"1714"@;@"1714401365"
"301027336"@;@"""ERTEX STYLE"" OK"@;@"1726"@;@"1726269"
"308620820"@;@"""SAM PROM PROF"" MCHJ"@;@"1718"@;@"1718406"
"301015629"@;@""" YAGONA SHARQ ZAMINI"" XK"@;@"1703"@;@"1703220"
"308051438"@;@"""FUTURE TECHNOLOGIES WITH US"" MCHJ"@;@"1726"@;@"1726277"
"310772704"@;@"""UNION LEADERS"" MCHJ"@;@"1712"@;@"1712216"
"305377895"@;@"""ECO BAG PLAST"" MCHJ"@;@"1726"@;@"1726262"
"311729540"@;@"OOO ""KOMOLIDIN LOGISTIKA"""@;@"1703"@;@
"310298390"@;@"""DDDD DAVRONOVICH MEBELLARI"" OK"@;@"1708"@;@"1708215"
"303000930"@;@"ООО ""KAMANGARON - OIL TRADE"""@;@"1718"@;@
"310072720"@;@"""XIKMATLI QURILISH DAVOMI"" MCHJ"@;@"1730"@;@"1730236"
"307229325"@;@"""DILYORBEK JA'FARBEK SHOFIDDINOVLAR"" OK"@;@"1706"@;@"1706246"
"311315424"@;@"""ANGARIK NONLARI"" OK"@;@"1733"@;@"1733406"
"302602980"@;@MUZAFFAR OZODBEK QUVONCHI ОК@;@"1730"@;@"1730221"
"301519221"@;@"""XUSNIDDIN BARAKA SERVIS"" MCHJ"@;@"1724"@;@"1724231"
"305888734"@;@"""CHIRCHIQ SUT-SARYOG` SAVDO"" MCHJ"@;@"1727"@;@"1727419"
"310193128"@;@"""RASUL USMON INVEST"" MCHJ"@;@"1714"@;@"1714401"
"305412020"@;@"""PRODILEK TRADE"" MCHJ"@;@"1726"@;@"1726262"
"310036044"@;@"""O'G'ILJAN PISHIRIQ"" OK"@;@"1735"@;@"1735250"
"309751095"@;@"""BUXORO EXTIYOT TA`MIN"" MCHJ"@;@"1706"@;@"1706401"
"201650547"@;@"""XAMIDXON KAMILOV NOMLI QARSHIMEBEL"" MCHJ"@;@"1710"@;@"1710401"
"202725499"@;@"""QURUVCHI-T"" XK"@;@"1730"@;@"1730221"
"306081101"@;@"""SAM CEMENT"" MCHJ"@;@"1718"@;@"1718401"
