"tnved_code"@;@"imp_usd"@;@"exp_usd"@;@"manufacture_usd"@;@"power_usd"@;@"sold_usd"@;@"left_usd"@;@"market_by_tnved"@;@"fm"@;@"pl_2"@;@"coef_gotovnosti"@;@"pl_3"@;@"ilp"
"2106909804"@;@6 295@;@@;@288 681@;@288 681@;@273 837@;@16 356@;@278 620@;@0@;@0@;@0,3@;@0@;@0,07
"6204499000"@;@327 061@;@77 463@;@277 734@;@277 734@;@268 830@;@8 903@;@595 892@;@0@;@0@;@0,6@;@0@;@0,39
"4707901000"@;@5 410@;@27 953@;@@;@@;@@;@@;@5 410@;@@;@@;@0,3@;@@;@0,56
"6003400000"@;@@;@@;@2 235 607@;@2 257 133@;@2 235 179@;@3 327 561@;@2 235 179@;@21 526@;@@;@0,3@;@@;@
"8705400005"@;@353 775@;@@;@@;@@;@@;@@;@353 775@;@@;@@;@0@;@@;@0,5
"5307200000"@;@4 087 094@;@@;@248 096@;@265 268@;@212 961@;@35 136@;@4 300 054@;@17 172@;@17 172@;@0,3@;@5 151,6@;@0,54
"7204419900"@;@361@;@@;@22 965 941@;@22 965 941@;@22 965 941@;@@;@22 966 302@;@0@;@0@;@0,3@;@0@;@0,06
"3606100000"@;@5 794@;@@;@@;@@;@@;@@;@5 794@;@@;@@;@0@;@@;@0,5
"0403209009"@;@668@;@@;@@;@@;@@;@@;@668@;@@;@@;@0@;@@;@0,5
"2710196601"@;@214 730 168@;@51 539@;@@;@@;@@;@@;@214 730 168@;@@;@@;@0,3@;@@;@0,56
"2204214600"@;@8 884@;@@;@@;@@;@@;@@;@8 884@;@@;@@;@0@;@@;@0,5
"1604200500"@;@691 528@;@@;@2 335@;@2 335@;@2 335@;@@;@693 863@;@0@;@0@;@0,3@;@0@;@0,56
"9405290029"@;@22 838@;@@;@@;@@;@@;@@;@22 838@;@@;@@;@0@;@@;@0,5
"8413703000"@;@7 003 223@;@13 969@;@102 306@;@106 983@;@102 067@;@239@;@7 091 321@;@4 677@;@4 677@;@0,6@;@2 806,2@;@0,61
"8516792000"@;@113 763@;@3 732@;@1 356 075@;@1 377 188@;@3 136 855@;@847 888@;@621 950@;@21 113@;@21 113@;@0,6@;@12 667,8@;@0,27
"6401990000"@;@122 752@;@5 308 536@;@9 542 482@;@44 995 475@;@7 144 128@;@6 022 162@;@3 643 072@;@35 452 993@;@122 752@;@1@;@122 752@;@86,86
"7409110000"@;@254 230@;@7 676 524@;@@;@@;@@;@@;@254 230@;@@;@@;@0,3@;@@;@0,56
"3405200000"@;@60 611@;@@;@2 955@;@2 955@;@2 505@;@450@;@63 116@;@0@;@0@;@0,3@;@0@;@0,54
"2008927800"@;@@;@@;@304 211@;@320 222@;@304 211@;@@;@304 211@;@16 011@;@@;@0,3@;@@;@
"403903100"@;@@;@@;@8 326@;@10 359@;@8 326@;@@;@8 326@;@2 033@;@@;@0,3@;@@;@
"2904990000"@;@77 463@;@@;@@;@@;@@;@@;@77 463@;@@;@@;@0@;@@;@0,5
"2009691100"@;@@;@@;@3 587 009@;@3 590 490@;@1 629 828@;@1 958 050@;@1 629 828@;@3 481@;@@;@0,3@;@@;@
"1902191000"@;@5 184 333@;@7 972@;@19 433 476@;@20 343 207@;@18 591 638@;@1 460 309@;@23 157 500@;@909 731@;@909 731@;@0,6@;@545 838,6@;@0,28
"7112910000"@;@@;@@;@13 322@;@13 403@;@13 322@;@@;@13 322@;@81@;@@;@0,3@;@@;@
"3824996400"@;@2 072 549@;@@;@@;@@;@@;@@;@2 072 549@;@@;@@;@0@;@@;@0,5
"7419800000"@;@2 977 347@;@5 234 935@;@21 710@;@21 710@;@20 995@;@715@;@2 998 342@;@0@;@0@;@1@;@0@;@0,7
"7204211000"@;@@;@2 475 173@;@@;@@;@@;@@;@0@;@@;@@;@0,3@;@@;@
"2905410000"@;@73@;@@;@@;@@;@@;@@;@73@;@@;@@;@0@;@@;@0,5
"2009491901"@;@@;@@;@779 126@;@779 126@;@1 256 409@;@85 599@;@1 256 409@;@0@;@@;@0,3@;@@;@
"8527921000"@;@256@;@@;@@;@@;@@;@@;@256@;@@;@@;@0@;@@;@0,5
"7214911000"@;@603 982@;@@;@1 229@;@1 229@;@1 229@;@@;@605 211@;@0@;@0@;@0,7@;@0@;@0,64
"7308909900"@;@@;@@;@861 915@;@924 670@;@860 402@;@13 188@;@860 402@;@62 755@;@@;@0,3@;@@;@
"7318129000"@;@1 428 891@;@1 967 048@;@200 451@;@2 090 868@;@200 451@;@@;@1 629 342@;@1 890 417@;@1 428 891@;@0,6@;@857 334,6@;@0,96
"0307510000"@;@524@;@@;@@;@@;@@;@@;@524@;@@;@@;@0@;@@;@0,5
"8462299800"@;@@;@@;@5 998 966@;@5 998 966@;@5 998 966@;@@;@5 998 966@;@0@;@@;@0,3@;@@;@
"6401100000"@;@25 607@;@@;@238 713@;@238 713@;@237 141@;@1 572@;@262 748@;@0@;@0@;@0,7@;@0@;@0,19
"0406903209"@;@152 695@;@@;@@;@@;@@;@@;@152 695@;@@;@@;@0@;@@;@0,5
"0701909000"@;@59 425 215@;@21 101@;@@;@@;@@;@@;@59 425 215@;@@;@@;@0,7@;@@;@0,64
"8703211010"@;@@;@@;@98 281@;@98 281@;@52 428@;@65 316@;@52 428@;@0@;@@;@0,3@;@@;@
"9018329000"@;@25 829@;@@;@@;@@;@@;@@;@25 829@;@@;@@;@0@;@@;@0,5
"5702509000"@;@79@;@@;@9 321 353@;@9 321 353@;@7 293 653@;@4 600 840@;@4 720 592@;@0@;@0@;@0,3@;@0@;@0,06
"8526920008"@;@3 875 096@;@12@;@@;@@;@@;@@;@3 875 096@;@@;@@;@0,3@;@@;@0,56
"8711400000"@;@65 721@;@@;@@;@@;@@;@@;@65 721@;@@;@@;@0@;@@;@0,5
"8548902000"@;@@;@@;@15 960@;@16 675@;@15 960@;@@;@15 960@;@715@;@@;@0,3@;@@;@
"9306309000"@;@264 620@;@56 111@;@@;@@;@@;@@;@264 620@;@@;@@;@0,3@;@@;@0,56
"8445130002"@;@6 738 781@;@@;@@;@@;@@;@@;@6 738 781@;@@;@@;@0@;@@;@0,5
"0102213000"@;@452 275@;@@;@@;@@;@@;@@;@452 275@;@@;@@;@0@;@@;@0,5
"8525831900"@;@23 169@;@@;@@;@@;@@;@@;@23 169@;@@;@@;@0@;@@;@0,5
"2007109110"@;@46 135@;@@;@@;@@;@@;@@;@46 135@;@@;@@;@0@;@@;@0,5
"5208430000"@;@27 423@;@@;@@;@@;@@;@@;@27 423@;@@;@@;@0@;@@;@0,5
"8544111000"@;@887 185@;@10 427 219@;@76 215 051@;@81 073 862@;@55 956 545@;@2 347 242@;@74 754 994@;@4 858 811@;@887 185@;@1@;@887 185@;@1,85
"2931200000"@;@69 061@;@@;@@;@@;@@;@@;@69 061@;@@;@@;@0@;@@;@0,5
"0709992000"@;@@;@117 982@;@@;@@;@@;@@;@0@;@@;@@;@0,3@;@@;@
"0307998000"@;@22 968@;@@;@@;@@;@@;@@;@22 968@;@@;@@;@0@;@@;@0,5
"6211490001"@;@13 116@;@2 281@;@@;@@;@@;@@;@13 116@;@@;@@;@0,7@;@@;@0,64
"3903909000"@;@1 946 270@;@99 202@;@@;@@;@@;@@;@1 946 270@;@@;@@;@0,3@;@@;@0,56
"4301100010"@;@@;@@;@16 553@;@16 553@;@16 553@;@868@;@16 553@;@0@;@@;@0,3@;@@;@
"8408203100"@;@80 652@;@@;@@;@@;@@;@@;@80 652@;@@;@@;@0@;@@;@0,5
"8205510090"@;@1 439 318@;@3 354@;@45 316@;@45 316@;@45 316@;@@;@1 481 280@;@0@;@0@;@0,6@;@0@;@0,61
"8007001000"@;@2 035@;@@;@123 199@;@154 876@;@123 199@;@@;@125 234@;@31 677@;@2 035@;@0,3@;@610,5@;@4,74
"8450200000"@;@4 568 379@;@2 491 046@;@@;@@;@@;@@;@4 568 379@;@@;@@;@0,7@;@@;@0,64
"4805400000"@;@530 301@;@@;@@;@@;@@;@@;@530 301@;@@;@@;@0@;@@;@0,5
"0803901000"@;@62 959 608@;@98@;@@;@@;@@;@@;@62 959 608@;@@;@@;@0,3@;@@;@0,56
"6116920000"@;@20 014@;@7 571 011@;@1 950 721@;@1 991 394@;@1 354 401@;@868 141@;@1 102 594@;@40 673@;@20 014@;@1@;@20 014@;@0,82
"4418208000"@;@@;@@;@7 755 784@;@9 329 274@;@4 300 924@;@17 304 858@;@4 300 924@;@1 573 490@;@@;@0,3@;@@;@
"7216220000"@;@457@;@547@;@1 296 524@;@1 296 524@;@1 295 027@;@150@;@1 296 831@;@0@;@0@;@0,6@;@0@;@0,12
"8414600008"@;@432 594@;@1 458 944@;@@;@@;@@;@@;@432 594@;@@;@@;@0,7@;@@;@0,64
"9013100000"@;@32 512@;@@;@@;@@;@@;@@;@32 512@;@@;@@;@0@;@@;@0,5
"5309190000"@;@120 756@;@@;@@;@@;@@;@@;@120 756@;@@;@@;@0@;@@;@0,5
"4201000000"@;@41 637@;@129 162@;@21 805@;@21 861@;@21 805@;@@;@63 442@;@56@;@56@;@0,6@;@33,6@;@0,45
"9005100000"@;@168 813@;@@;@@;@@;@@;@@;@168 813@;@@;@@;@0@;@@;@0,5
"5205120008"@;@140 490@;@277 378@;@@;@@;@@;@@;@140 490@;@@;@@;@0,3@;@@;@0,56
"2204219300"@;@234 812@;@@;@@;@@;@@;@@;@234 812@;@@;@@;@0@;@@;@0,5
"8460241001"@;@207 400@;@@;@@;@@;@@;@@;@207 400@;@@;@@;@0@;@@;@0,5
"4810190001"@;@903 270@;@@;@@;@@;@@;@@;@903 270@;@@;@@;@0@;@@;@0,5
"8704239809"@;@1 222 213@;@377 276@;@@;@@;@@;@@;@1 222 213@;@@;@@;@0,3@;@@;@0,56
"2916140000"@;@141 964@;@3 093@;@@;@@;@@;@@;@141 964@;@@;@@;@0,3@;@@;@0,56
"9016001000"@;@950 463@;@108 376@;@@;@@;@@;@@;@950 463@;@@;@@;@0,3@;@@;@0,56
"1207509000"@;@5 018@;@@;@@;@@;@@;@@;@5 018@;@@;@@;@0@;@@;@0,5
"7307998009"@;@4 992 783@;@23 430@;@526 385@;@526 385@;@526 385@;@@;@5 495 738@;@0@;@0@;@1@;@0@;@0,65
"8703211099"@;@7 167 116@;@33 670@;@@;@@;@@;@@;@7 167 116@;@@;@@;@0,3@;@@;@0,56
"9619007101"@;@5 936 774@;@501 601@;@9 456 155@;@9 904 798@;@7 982 820@;@2 202 711@;@13 190 218@;@448 643@;@448 643@;@0,6@;@269 185,8@;@0,37
"7304395200"@;@5 665@;@@;@@;@@;@@;@@;@5 665@;@@;@@;@0@;@@;@0,5
"8714969000"@;@140 300@;@3 214@;@@;@@;@@;@@;@140 300@;@@;@@;@0,3@;@@;@0,56
"8425310009"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"2102209000"@;@66 321@;@@;@@;@@;@@;@@;@66 321@;@@;@@;@0@;@@;@0,5
"9403901000"@;@@;@@;@3 831 032@;@4 404 769@;@3 524 928@;@337 729@;@3 524 928@;@573 737@;@@;@0,3@;@@;@
"811909500"@;@@;@@;@3 305 007@;@3 305 007@;@3 305 007@;@1 050 468@;@3 305 007@;@0@;@@;@0,3@;@@;@
"8479600000"@;@993 155@;@@;@@;@@;@@;@@;@993 155@;@@;@@;@0@;@@;@0,5
"2009393109"@;@9 103@;@@;@@;@@;@@;@@;@9 103@;@@;@@;@0@;@@;@0,5
"2710198100"@;@@;@@;@9 554 496@;@10 616 107@;@8 795 104@;@3 027 768@;@8 795 104@;@1 061 611@;@@;@0,3@;@@;@
"8541300009"@;@2 106 294@;@904@;@@;@@;@@;@@;@2 106 294@;@@;@@;@0,3@;@@;@0,56
"2205101000"@;@115 334@;@@;@@;@@;@@;@@;@115 334@;@@;@@;@0@;@@;@0,5
"4409101800"@;@1 896 108@;@17 377@;@1 126 315@;@1 126 315@;@288 212@;@838 103@;@2 166 943@;@0@;@0@;@0,6@;@0@;@0,56
"3913100000"@;@949 630@;@@;@@;@@;@@;@@;@949 630@;@@;@@;@0@;@@;@0,5
"9018908409"@;@37 629 160@;@233 417@;@741 311@;@1 469 826@;@562 370@;@360 210@;@37 776 844@;@728 515@;@728 515@;@1@;@728 515@;@0,7
"4407920000"@;@359 718@;@@;@@;@@;@@;@@;@359 718@;@@;@@;@0@;@@;@0,5
"5205440008"@;@11 079@;@@;@@;@@;@@;@@;@11 079@;@@;@@;@0@;@@;@0,5
"305511000"@;@@;@@;@237 336@;@237 336@;@237 336@;@@;@237 336@;@0@;@@;@0,3@;@@;@
"4804395800"@;@@;@@;@237@;@237@;@237@;@@;@237@;@0@;@@;@0,3@;@@;@
"6212300000"@;@7 220@;@@;@790@;@790 000@;@790@;@@;@8 010@;@789 210@;@7 220@;@0,3@;@2 166@;@33,3
"3301297100"@;@9 097@;@@;@@;@@;@@;@@;@9 097@;@@;@@;@0@;@@;@0,5
"7211130000"@;@19 787@;@@;@124 361@;@124 361@;@124 361@;@@;@144 148@;@0@;@0@;@0,3@;@0@;@0,13
"2918110000"@;@1 154 747@;@4 278@;@@;@@;@@;@@;@1 154 747@;@@;@@;@0,3@;@@;@0,56
"9003900009"@;@1 649@;@51@;@@;@@;@@;@@;@1 649@;@@;@@;@0,3@;@@;@0,56
"2515200000"@;@12 921@;@17@;@135 707@;@137 682@;@99 260@;@6 036@;@142 592@;@1 975@;@1 975@;@0,6@;@1 185@;@0,21
"9102990000"@;@2 027@;@@;@@;@@;@@;@@;@2 027@;@@;@@;@0@;@@;@0,5
"8528711300"@;@@;@@;@368 093@;@368 093@;@368 093@;@@;@368 093@;@0@;@@;@0,3@;@@;@
"4412340000"@;@132 794@;@@;@@;@@;@@;@@;@132 794@;@@;@@;@0@;@@;@0,5
"6103320000"@;@52 445@;@702 980@;@17 284@;@17 284@;@17 284@;@@;@69 729@;@0@;@0@;@1@;@0@;@0,58
"7304220001"@;@@;@@;@20 581@;@20 581@;@20 581@;@@;@20 581@;@0@;@@;@0,3@;@@;@
"2810001000"@;@231@;@@;@@;@@;@@;@@;@231@;@@;@@;@0@;@@;@0,5
"3911901100"@;@325@;@@;@@;@@;@@;@@;@325@;@@;@@;@0@;@@;@0,5
"4012200001"@;@@;@@;@474@;@474@;@474@;@@;@474@;@0@;@@;@0,3@;@@;@
"5401201000"@;@8 189@;@@;@@;@@;@@;@@;@8 189@;@@;@@;@0@;@@;@0,5
"9207103000"@;@458 646@;@@;@@;@@;@@;@@;@458 646@;@@;@@;@0@;@@;@0,5
"6203291100"@;@54 518@;@20 703@;@2 643 675@;@2 686 728@;@2 665 137@;@230 172@;@2 468 021@;@43 053@;@43 053@;@1@;@43 053@;@0,45
"8501800009"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"3209100009"@;@6 436 351@;@1 029 429@;@36 274 519@;@43 176 633@;@35 131 913@;@2 266 376@;@40 444 494@;@6 902 114@;@6 436 351@;@1@;@6 436 351@;@0,6
"2827393000"@;@10 540@;@@;@@;@@;@@;@@;@10 540@;@@;@@;@0@;@@;@0,5
"7112990000"@;@15 724@;@1 533 955@;@21 222@;@21 222@;@21 222@;@@;@36 946@;@0@;@0@;@0,6@;@0@;@0,33
"0303340000"@;@10 135@;@@;@@;@@;@@;@@;@10 135@;@@;@@;@0@;@@;@0,5
"7326191000"@;@3 358 390@;@406 636@;@84 525@;@87 138@;@84 525@;@@;@3 036 279@;@2 613@;@2 613@;@0,6@;@1 567,8@;@0,67
"8467297000"@;@127 416@;@2 468@;@@;@@;@@;@@;@127 416@;@@;@@;@0,3@;@@;@0,56
"9018901000"@;@3 315 130@;@76 989@;@@;@@;@@;@@;@3 315 130@;@@;@@;@0,3@;@@;@0,56
"3808948000"@;@1 866 082@;@59 683@;@62 010@;@70 829@;@61 959@;@51@;@1 868 358@;@8 819@;@8 819@;@1@;@8 819@;@0,7
"8537109809"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"1209228000"@;@343 752@;@83 078@;@@;@@;@@;@@;@343 752@;@@;@@;@0,3@;@@;@0,56
"9506400001"@;@101 946@;@30@;@45 779@;@45 779@;@45 779@;@@;@147 695@;@0@;@0@;@1@;@0@;@0,55
"6204623900"@;@1 166 782@;@269 998@;@@;@@;@@;@@;@1 166 782@;@@;@@;@0,3@;@@;@0,56
"9405110019"@;@430 676@;@55 515@;@41 278@;@41 278@;@41 278@;@@;@416 439@;@0@;@0@;@0,6@;@0@;@0,64
"0805400000"@;@677 205@;@@;@@;@@;@@;@@;@677 205@;@@;@@;@0@;@@;@0,5
"3206110000"@;@18 384 530@;@416 602@;@6 156 758@;@6 287 100@;@6 156 758@;@@;@24 124 686@;@130 342@;@130 342@;@0,6@;@78 205,2@;@0,5
"5112200001"@;@171@;@@;@@;@@;@@;@@;@171@;@@;@@;@0@;@@;@0,5
"8303009000"@;@875 788@;@@;@115 892@;@192 221@;@115 892@;@@;@991 680@;@76 329@;@76 329@;@0,7@;@53 430,3@;@0,61
"8525829900"@;@113 644@;@@;@@;@@;@@;@@;@113 644@;@@;@@;@0,4@;@@;@0,58
"9608109900"@;@23 560@;@830@;@790@;@790@;@553@;@237@;@23 283@;@0@;@0@;@0,6@;@0@;@0,63
"402919100"@;@@;@@;@262 245@;@262 245@;@262 245@;@@;@262 245@;@0@;@@;@0,3@;@@;@
"2941300001"@;@49 367@;@@;@@;@@;@@;@@;@49 367@;@@;@@;@0@;@@;@0,5
"2921120000"@;@1 454@;@@;@@;@@;@@;@@;@1 454@;@@;@@;@0@;@@;@0,5
"7415100000"@;@16 842@;@@;@50 476@;@87 696@;@50 476@;@@;@67 318@;@37 220@;@16 842@;@0,3@;@5 052,6@;@0,85
"1515110000"@;@46 473@;@57 756@;@74 020@;@74 020@;@74 020@;@@;@120 493@;@0@;@0@;@0,6@;@0@;@0,31
"0902100001"@;@2 041 301@;@33 584@;@@;@@;@@;@@;@2 041 301@;@@;@@;@0,7@;@@;@0,64
"4202911000"@;@420 568@;@7 396@;@3 683 174@;@4 495 908@;@3 731 487@;@217 355@;@3 886 387@;@812 734@;@420 568@;@1@;@420 568@;@0,83
"6101902000"@;@39 242@;@11 098@;@3 283@;@3 283@;@3 283@;@@;@31 427@;@0@;@0@;@0,6@;@0@;@0,74
"2924120000"@;@8 330@;@@;@@;@@;@@;@@;@8 330@;@@;@@;@0@;@@;@0,5
"3204110000"@;@1 456 775@;@280 938@;@2 270 148@;@2 295 839@;@2 270 148@;@5 120@;@3 721 803@;@25 691@;@25 691@;@1@;@25 691@;@0,4
"7304511800"@;@404 616@;@@;@1 231@;@1 231@;@1 231@;@@;@405 847@;@0@;@0@;@0,3@;@0@;@0,56
"2008993700"@;@3 077@;@@;@@;@@;@@;@@;@3 077@;@@;@@;@0@;@@;@0,5
"4808400009"@;@138 030@;@1@;@386 718@;@491 785@;@361 976@;@24 742@;@500 006@;@105 067@;@105 067@;@0,6@;@63 040,2@;@0,49
"2805409000"@;@129@;@@;@@;@@;@@;@@;@129@;@@;@@;@0@;@@;@0,5
"9403101000"@;@@;@@;@1 159 157@;@1 263 623@;@1 120 529@;@27 610@;@1 120 529@;@104 466@;@@;@0,3@;@@;@
"8434200000"@;@2 212 100@;@8 480@;@@;@@;@@;@@;@2 212 100@;@@;@@;@0,3@;@@;@0,56
"7304293003"@;@984 179@;@@;@@;@@;@@;@@;@984 179@;@@;@@;@0@;@@;@0,5
"4420901000"@;@134@;@28 179@;@15 800@;@15 800@;@15 800@;@@;@15 934@;@0@;@0@;@1@;@0@;@0,2
"0207273000"@;@11 271@;@@;@@;@@;@@;@@;@11 271@;@@;@@;@0@;@@;@0,5
"6913100000"@;@44 702@;@24 463@;@8 288@;@8 288@;@8 288@;@@;@28 527@;@0@;@0@;@1@;@0@;@0,98
"1701149021"@;@156@;@@;@@;@@;@@;@@;@156@;@@;@@;@0@;@@;@0,5
"8460390000"@;@341 676@;@17 225@;@@;@@;@@;@@;@341 676@;@@;@@;@0,3@;@@;@0,56
"9401800009"@;@1 170 653@;@192 494@;@2 821 461@;@2 843 979@;@2 816 334@;@97 078@;@3 895 036@;@22 518@;@22 518@;@1@;@22 518@;@0,36
"2302401000"@;@5 731@;@@;@22 864 118@;@23 664 391@;@11 989 648@;@452 055@;@22 417 794@;@800 273@;@5 731@;@0,3@;@1 719,3@;@41,95
"9405919009"@;@335 523@;@@;@@;@@;@@;@@;@335 523@;@@;@@;@0@;@@;@0,5
"3006200000"@;@@;@@;@5 678 826@;@6 037 867@;@5 588 475@;@349 759@;@5 588 475@;@359 041@;@@;@0,3@;@@;@
"8510100000"@;@238 030@;@1 215@;@@;@@;@@;@@;@238 030@;@@;@@;@0,3@;@@;@0,56
"8708405000"@;@@;@@;@790@;@8 690@;@790@;@@;@790@;@7 900@;@@;@0,3@;@@;@
"5212131000"@;@15 825@;@@;@@;@@;@@;@@;@15 825@;@@;@@;@0@;@@;@0,5
"2106905500"@;@@;@@;@148 845@;@160 216@;@148 845@;@@;@148 845@;@11 371@;@@;@0,3@;@@;@
"6210400000"@;@164 655@;@109 540@;@39 290@;@39 290@;@39 290@;@@;@94 405@;@0@;@0@;@1@;@0@;@1,07
"4418908000"@;@@;@@;@52 115@;@53 016@;@52 115@;@12 269@;@52 115@;@901@;@@;@0,3@;@@;@
"9507100000"@;@276 682@;@450@;@162 244@;@162 389@;@150 598@;@11 646@;@426 830@;@145@;@145@;@0,6@;@87@;@0,44
"7310219900"@;@1 169@;@@;@842 185@;@842 185@;@636 744@;@158 469@;@684 885@;@0@;@0@;@0,3@;@0@;@0,06
"8511900001"@;@541@;@@;@1 740 263@;@1 749 918@;@1 719 862@;@20 401@;@1 720 403@;@9 655@;@541@;@0,3@;@162,3@;@5,41
"0901220002"@;@1 295@;@@;@@;@@;@@;@@;@1 295@;@@;@@;@0@;@@;@0,5
"7409210000"@;@8 450@;@3 471 181@;@7 586 186@;@7 647 365@;@7 586 186@;@@;@7 594 636@;@61 179@;@8 450@;@1@;@8 450@;@2,37
"4601941000"@;@49@;@@;@@;@@;@@;@@;@49@;@@;@@;@0@;@@;@0,5
"2841908500"@;@10 384@;@3 071 949@;@@;@@;@@;@@;@10 384@;@@;@@;@0,3@;@@;@0,56
"3808923000"@;@211 555@;@@;@@;@@;@@;@@;@211 555@;@@;@@;@0@;@@;@0,5
"7210908000"@;@331 739@;@200@;@@;@@;@@;@@;@331 739@;@@;@@;@0,3@;@@;@0,56
"6403519900"@;@2 454@;@@;@1 105 998@;@2 811 444@;@1 132 074@;@56 239@;@1 052 213@;@1 705 446@;@2 454@;@0,3@;@736,2@;@100
"0602904800"@;@6 079 035@;@385 161@;@@;@@;@@;@@;@6 079 035@;@@;@@;@0,7@;@@;@0,64
"8506101809"@;@26 968@;@@;@@;@@;@@;@@;@26 968@;@@;@@;@0@;@@;@0,5
"1104229500"@;@9 246@;@@;@30 225@;@30 225@;@30 225@;@@;@39 471@;@0@;@0@;@0,3@;@0@;@0,18
"0403907100"@;@32 267@;@@;@@;@@;@@;@@;@32 267@;@@;@@;@0@;@@;@0,5
"6117801001"@;@914@;@@;@34 739@;@38 213@;@34 739@;@@;@35 653@;@3 474@;@914@;@0,7@;@639,8@;@1,29
"2836910000"@;@85@;@@;@@;@@;@@;@@;@85@;@@;@@;@0@;@@;@0,5
"8483402909"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"5205340006"@;@@;@842 211@;@@;@@;@@;@@;@0@;@@;@@;@0,3@;@@;@
"8451803009"@;@7 269 437@;@253 600@;@@;@@;@@;@@;@7 269 437@;@@;@@;@0,3@;@@;@0,56
"7004209900"@;@@;@@;@23 858@;@23 858@;@23 858@;@@;@23 858@;@0@;@@;@0,3@;@@;@
"3104900009"@;@127 045@;@79 033@;@@;@@;@@;@@;@127 045@;@@;@@;@0,3@;@@;@0,56
"6403591100"@;@8 457@;@@;@32 809@;@34 898@;@29 311@;@64 560@;@29 311@;@2 089@;@2 089@;@0,7@;@1 462,3@;@0,36
"8483303201"@;@1 920@;@@;@2 460@;@2 460@;@2 460@;@@;@4 380@;@0@;@0@;@0,3@;@0@;@0,28
"8476290000"@;@1 298 062@;@2 010@;@@;@@;@@;@@;@1 298 062@;@@;@@;@0,3@;@@;@0,56
"4301600060"@;@238 640@;@@;@@;@@;@@;@@;@238 640@;@@;@@;@0@;@@;@0,5
"8708939007"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"6115940000"@;@28 671@;@15 646@;@14 337 527@;@14 387 603@;@10 126 683@;@5 053 711@;@9 312 487@;@50 076@;@28 671@;@0,6@;@17 202,6@;@0,65
"9405190032"@;@555 145@;@3 923@;@@;@@;@@;@@;@555 145@;@@;@@;@0,3@;@@;@0,56
"6912001000"@;@@;@@;@249 990@;@255 878@;@249 232@;@758@;@249 232@;@5 888@;@@;@0,3@;@@;@
"6405209100"@;@232 246@;@33 277@;@500 226@;@500 226@;@500 204@;@71@;@732 401@;@0@;@0@;@1@;@0@;@0,36
"2103909009"@;@12 922 746@;@924 009@;@3 035 520@;@3 216 181@;@2 162 681@;@334 452@;@14 699 805@;@180 661@;@180 661@;@1@;@180 661@;@0,64
"0408918000"@;@160 137@;@@;@@;@@;@@;@@;@160 137@;@@;@@;@0@;@@;@0,5
"2932120000"@;@208@;@@;@@;@@;@@;@@;@208@;@@;@@;@0@;@@;@0,5
"9015109000"@;@57 584@;@@;@@;@@;@@;@@;@57 584@;@@;@@;@0@;@@;@0,5
"9006590009"@;@118 392@;@@;@@;@@;@@;@@;@118 392@;@@;@@;@0@;@@;@0,5
"3913900000"@;@962 958@;@@;@733 049@;@1 177 886@;@733 049@;@372 104@;@1 323 903@;@444 837@;@444 837@;@0,7@;@311 385,9@;@0,64
"6204210000"@;@594@;@174@;@115 785@;@115 785@;@115 785@;@@;@116 379@;@0@;@0@;@0,6@;@0@;@0,12
"7224903800"@;@153 241@;@@;@5 292@;@6 615@;@5 292@;@@;@158 533@;@1 323@;@1 323@;@0,3@;@396,9@;@0,55
"1806101500"@;@7 469@;@@;@79 084@;@84 471@;@72 645@;@5 532@;@81 021@;@5 387@;@5 387@;@0,3@;@1 616,1@;@0,32
"4411949000"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"9114900001"@;@1 290@;@@;@@;@@;@@;@@;@1 290@;@@;@@;@0@;@@;@0,5
"8421392001"@;@678 768@;@@;@2 265 307@;@2 268 456@;@2 265 307@;@@;@2 944 075@;@3 149@;@3 149@;@0,3@;@944,7@;@0,18
"8456900000"@;@195 937@;@3 250@;@@;@@;@@;@@;@195 937@;@@;@@;@0,3@;@@;@0,56
"5806310000"@;@150 421@;@122 915@;@120 320@;@120 320@;@120 320@;@@;@270 741@;@0@;@0@;@1@;@0@;@0,48
"5516310000"@;@@;@@;@1 945@;@1 945@;@1 945@;@@;@1 945@;@0@;@@;@0,3@;@@;@
"8432101000"@;@@;@@;@182 631@;@228 289@;@135 368@;@47 263@;@135 368@;@45 658@;@@;@0,3@;@@;@
"6811890001"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"8203300000"@;@176 424@;@444@;@@;@@;@@;@@;@176 424@;@@;@@;@0,3@;@@;@0,56
"3202900000"@;@1 038 974@;@15 581@;@@;@@;@@;@@;@1 038 974@;@@;@@;@0,3@;@@;@0,56
"8302490001"@;@@;@@;@7 957@;@7 957@;@7 957@;@@;@7 957@;@0@;@@;@0,3@;@@;@
"6104190000"@;@@;@@;@690 089@;@699 172@;@687 430@;@19 111@;@687 430@;@9 083@;@@;@0,3@;@@;@
