"tnved_code"@;@"imp_usd"@;@"exp_usd"@;@"manufacture_usd"@;@"power_usd"@;@"sold_usd"@;@"left_usd"@;@"market_by_tnved"@;@"fm"@;@"pl_2"@;@"coef_gotovnosti"@;@"pl_3"@;@"ilp"
"8434900000"@;@195 178@;@@;@790@;@790@;@790@;@@;@195 968@;@0@;@0@;@0,3@;@0@;@0,56
"6103100000"@;@@;@@;@2 998 156@;@3 061 202@;@2 784 446@;@271 552@;@2 784 446@;@63 046@;@@;@0,3@;@@;@
"8533100000"@;@376 754@;@4 772@;@49 599@;@49 599@;@49 599@;@@;@421 581@;@0@;@0@;@0,6@;@0@;@0,57
"2106905100"@;@@;@@;@1 951@;@1 951@;@1 951@;@1 824@;@1 951@;@0@;@@;@0,3@;@@;@
"7225502000"@;@710 985@;@@;@344 889@;@563 636@;@344 889@;@@;@1 055 874@;@218 747@;@218 747@;@0,3@;@65 624,1@;@0,49
"8482500001"@;@@;@@;@2 070 230@;@2 274 111@;@1 533 020@;@537 210@;@1 533 020@;@203 881@;@@;@0,3@;@@;@
"2204309600"@;@@;@@;@495 711@;@519 382@;@443 413@;@76 334@;@443 413@;@23 671@;@@;@0,3@;@@;@
"7419993000"@;@@;@@;@1 350 924@;@1 350 924@;@1 151 219@;@75 051@;@1 151 219@;@0@;@@;@0,3@;@@;@
"8703339010"@;@17 108@;@@;@@;@@;@@;@@;@17 108@;@@;@@;@0@;@@;@0,5
"813406500"@;@@;@@;@3 551 875@;@3 551 875@;@3 551 875@;@3 551 875@;@3 551 875@;@0@;@@;@0,3@;@@;@
"8527139900"@;@2 189 141@;@62 237@;@@;@@;@@;@@;@2 189 141@;@@;@@;@0,3@;@@;@0,56
"7020000500"@;@584@;@@;@5 230@;@5 230@;@5 230@;@@;@5 814@;@0@;@0@;@0,3@;@0@;@0,11
"1605690000"@;@713@;@@;@@;@@;@@;@@;@713@;@@;@@;@0@;@@;@0,5
"2509000000"@;@33 963@;@430 267@;@13 014 412@;@13 531 252@;@9 660 145@;@3 406 708@;@9 641 667@;@516 840@;@33 963@;@1@;@33 963@;@4,77
"0304870000"@;@386 715@;@@;@@;@@;@@;@@;@386 715@;@@;@@;@0@;@@;@0,5
"8413506900"@;@5 826 822@;@993 948@;@1 433 972@;@1 434 177@;@1 233 658@;@87 115@;@6 179 731@;@205@;@205@;@1@;@205@;@0,67
"901210002"@;@@;@@;@186 068@;@276 339@;@186 068@;@12 699@;@186 068@;@90 271@;@@;@0,3@;@@;@
"5112110000"@;@2 256 766@;@3 379@;@@;@@;@@;@@;@2 256 766@;@@;@@;@0,3@;@@;@0,56
