"tnved_code"@;@"imp_usd"@;@"exp_usd"@;@"manufacture_usd"@;@"power_usd"@;@"sold_usd"@;@"left_usd"@;@"certificates_count"@;@"avg_localization_rate"@;@"market"@;@"iz"@;@"rp"@;@"hhi"@;@"ci"@;@"manufacturers_count"@;@"pr"@;@"capacity_utilization"@;@"mp"@;@"st"@;@"iri"
"6104199000"@;@@;@@;@3 144@;@3 144@;@3 144@;@@;@@;@@;@3 144@;@@;@0@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@12,5
"6104199001"@;@@;@@;@1 355 836@;@1 414 598@;@1 319 170@;@191 956@;@@;@@;@1 319 170@;@@;@-2,78@;@@;@0@;@8@;@70@;@95,85@;@4,15@;@50@;@9,344
"6104199009"@;@5 893@;@96 152@;@185 068@;@185 068@;@185 068@;@4@;@1@;@54,1@;@190 957@;@3,09@;@3,08@;@10 000@;@100@;@4@;@70@;@100@;@0@;@0@;@23,852
"6104220000"@;@243 723@;@13 634 927@;@2 357 272@;@2 369 225@;@2 226 026@;@127 965@;@4@;@54,88@;@2 473 030@;@9,37@;@4,68@;@3 273,3204@;@32,73@;@11@;@40@;@99,5@;@0,5@;@0@;@13,684
"6104230000"@;@17 079@;@239 721@;@1 975@;@1 975@;@1 975@;@@;@4@;@32,58@;@19 054@;@89,63@;@89,63@;@2 003,1639@;@20,03@;@1@;@100@;@100@;@0@;@0@;@66,778
"6104291000"@;@@;@@;@1 461 526@;@1 461 526@;@1 461 526@;@@;@4@;@22,35@;@1 461 526@;@@;@0@;@@;@0@;@1@;@100@;@100@;@0@;@0@;@10
"6104299000"@;@28 249@;@45 696@;@2 887 149@;@2 887 149@;@2 173 033@;@714 116@;@2@;@49,6@;@2 201 282@;@0,97@;@-31,16@;@3 787,4798@;@37,87@;@3@;@100@;@100@;@0@;@0@;@9,856
"6104310000"@;@18 976@;@7 345@;@417 167@;@417 167@;@417 167@;@@;@@;@@;@436 143@;@4,35@;@4,35@;@2 994,4227@;@29,94@;@1@;@100@;@100@;@0@;@50@;@19,61
"6104320000"@;@318 936@;@541 162@;@1 070 332@;@1 070 332@;@1 143 254@;@4 856@;@1@;@22@;@1 384 412@;@22,96@;@22,69@;@5 428,6322@;@54,29@;@1@;@100@;@100@;@0@;@0@;@31,822
"6104390000"@;@47 325@;@51 590@;@16 590@;@16 590@;@16 590@;@@;@@;@@;@63 915@;@74,04@;@74,04@;@2 576,044@;@25,76@;@1@;@100@;@100@;@0@;@50@;@60,824
"6104410000"@;@38 022@;@3 869@;@152 527@;@164 260@;@3 033@;@158 548@;@@;@@;@32 001@;@19,95@;@-376,63@;@3 690,9668@;@36,91@;@1@;@100@;@92,86@;@7,14@;@50@;@-48,646
"6104420000"@;@344 544@;@18 701 400@;@9 334 714@;@9 407 925@;@4 234 154@;@9 703 362@;@@;@@;@-24 104@;@3,56@;@38 826,83@;@2 142,8692@;@21,43@;@8@;@70@;@99,22@;@0,78@;@50@;@7 779,59
"6104430000"@;@568 339@;@153 393@;@3 318@;@3 318@;@3 318@;@@;@1@;@75@;@418 264@;@99,42@;@99,21@;@2 510,6024@;@25,11@;@1@;@100@;@100@;@0@;@0@;@73,41
"6104490000"@;@120 585@;@40 196@;@38 033@;@38 033@;@38 033@;@@;@@;@@;@118 422@;@76,02@;@67,88@;@4 589,6329@;@45,9@;@5@;@70@;@100@;@0@;@50@;@60,384
"6104520000"@;@42 534@;@806 010@;@14 825@;@14 825@;@17 518@;@@;@@;@@;@57 359@;@74,15@;@74,15@;@1 790,3885@;@17,9@;@1@;@100@;@100@;@0@;@50@;@59,69
"6104530000"@;@172 439@;@75 662@;@91 558@;@91 558@;@91 558@;@@;@@;@@;@188 335@;@65,32@;@51,39@;@2 718,7716@;@27,19@;@1@;@100@;@100@;@0@;@50@;@53,006
"6104590000"@;@82 341@;@58 478@;@146 473@;@197 936@;@149 633@;@10 645@;@@;@@;@218 169@;@35,99@;@32,86@;@1 517,5073@;@15,18@;@1@;@100@;@74@;@26@;@50@;@38,368
"6104610001"@;@47 687@;@17 041@;@29 423@;@29 423@;@29 423@;@@;@@;@@;@60 069@;@61,84@;@51,02@;@4 512,8411@;@45,13@;@1@;@100@;@100@;@0@;@50@;@54,24
"6104620000"@;@1 359 326@;@35 948 385@;@2 826 528@;@3 655 428@;@2 361 733@;@108 680@;@2@;@79@;@4 077 174@;@32,47@;@30,67@;@1 706,8698@;@17,07@;@9@;@70@;@77,32@;@22,68@;@0@;@31,022
"6104630000"@;@1 337 574@;@628 209@;@77 959@;@77 959@;@77 959@;@@;@1@;@96@;@787 324@;@94,49@;@90,1@;@1 833,9736@;@18,34@;@1@;@100@;@100@;@0@;@0@;@68,616
"6104690002"@;@26 161@;@15 610@;@620 148@;@654 285@;@620 148@;@@;@@;@@;@646 309@;@4,05@;@4,05@;@1 624,7448@;@16,25@;@1@;@100@;@94,78@;@5,22@;@50@;@17,83
"6105100000"@;@1 460 259@;@16 279 287@;@11 027 570@;@11 795 407@;@10 159 856@;@2 021 285@;@4@;@72,63@;@10 466 544@;@11,69@;@-5,36@;@2 400,8427@;@24,01@;@68@;@10@;@93,49@;@6,51@;@0@;@8,904
"6105201000"@;@265 116@;@248 236@;@287 919@;@287 919@;@287 919@;@@;@2@;@89,5@;@553 035@;@47,94@;@47,94@;@1 991,5628@;@19,92@;@4@;@70@;@100@;@0@;@0@;@38,764
"6105209000"@;@49 297@;@@;@394 606@;@399 637@;@394 606@;@@;@@;@@;@443 903@;@11,11@;@11,11@;@2 163,2657@;@21,63@;@5@;@70@;@98,74@;@1,26@;@50@;@19,466
"6105901000"@;@193 861@;@@;@68 004@;@68 004@;@67 578@;@12 704@;@@;@@;@249 161@;@74,03@;@72,71@;@4 616,1268@;@46,16@;@1@;@100@;@100@;@0@;@50@;@63,554
"6105909000"@;@208 846@;@13 038@;@511 007@;@595 055@;@411 099@;@54 622@;@@;@@;@665 231@;@29,01@;@23,18@;@5 697,6115@;@56,98@;@11@;@40@;@85,88@;@14,12@;@50@;@32,64
"6106100000"@;@243 614@;@3 248 513@;@28 310 144@;@29 220 936@;@24 732 586@;@9 711 528@;@1@;@90@;@18 842 230@;@0,85@;@-50,25@;@4 548,1762@;@45,48@;@46@;@10@;@96,88@;@3,12@;@0@;@-1,61
"6106200000"@;@758 537@;@10 022@;@525 346@;@525 346@;@525 346@;@26@;@@;@@;@1 273 835@;@59,08@;@58,76@;@5 219,9403@;@52,2@;@2@;@100@;@100@;@0@;@50@;@55,684
"6106903000"@;@@;@@;@7 902@;@8 692@;@7 902@;@@;@@;@@;@7 902@;@@;@0@;@@;@0@;@1@;@100@;@90,91@;@9,09@;@50@;@13,4
"6106905000"@;@5 950@;@@;@85 316@;@95 741@;@85 316@;@@;@@;@@;@91 266@;@6,52@;@6,52@;@4 408,0086@;@44,08@;@2@;@100@;@89,11@;@10,89@;@50@;@24,112
"6106909000"@;@10 352@;@@;@7 425 240@;@7 578 355@;@7 425 240@;@4 503@;@@;@@;@7 431 089@;@0,14@;@0,08@;@4 016,2662@;@40,16@;@8@;@70@;@97,98@;@2,02@;@50@;@15,772
"6107110000"@;@575 641@;@15 126 377@;@6 113 152@;@6 846 194@;@5 295 375@;@1 118 188@;@6@;@34,13@;@5 570 605@;@8,61@;@-9,74@;@1 957,1517@;@19,57@;@54@;@10@;@89,29@;@10,71@;@0@;@6,496
"6107120000"@;@187 046@;@58 961@;@331 713@;@340 489@;@331 713@;@39 422@;@2@;@66,3@;@479 337@;@36,06@;@30,8@;@2 215,7045@;@22,16@;@4@;@70@;@97,42@;@2,58@;@0@;@31,184
"6107190000"@;@32 620@;@239 867@;@8 241 317@;@8 356 363@;@6 411 609@;@2 354 439@;@6@;@33,26@;@5 919 498@;@0,39@;@-39,22@;@3 239,9849@;@32,4@;@13@;@40@;@98,62@;@1,38@;@0@;@1,312
"6107210000"@;@127 912@;@11 734 763@;@1 029 746@;@1 051 675@;@1 029 746@;@@;@13@;@44,51@;@1 157 658@;@11,05@;@11,05@;@3 392,2929@;@33,92@;@6@;@70@;@97,91@;@2,09@;@0@;@18,93
"6107220000"@;@13 250@;@18 164@;@2 162@;@2 162@;@2 162@;@@;@@;@@;@15 412@;@85,97@;@85,97@;@3 589,7495@;@35,9@;@1@;@100@;@100@;@0@;@50@;@69,482
"6107290000"@;@5 767@;@@;@193 449@;@201 716@;@193 449@;@@;@@;@@;@199 216@;@2,89@;@2,89@;@9 770,6912@;@97,71@;@4@;@70@;@95,9@;@4,1@;@50@;@26,334
"6107910000"@;@11 101@;@1 088 220@;@169 535@;@192 588@;@182 974@;@8 034@;@5@;@40,46@;@172 602@;@6,15@;@1,78@;@2 333,3357@;@23,33@;@8@;@70@;@88,03@;@11,97@;@0@;@14,516
"6107990000"@;@230 613@;@360 485@;@1 044 239@;@1 067 567@;@213 365@;@10 472@;@@;@@;@1 264 380@;@18,09@;@17,41@;@9 742,3329@;@97,42@;@1@;@100@;@97,81@;@2,19@;@50@;@38,018
"6108110000"@;@13 441@;@8 911@;@27 614 941@;@27 749 393@;@1 299 423@;@693 681@;@@;@@;@26 934 701@;@0,05@;@-2,53@;@4 765,0967@;@47,65@;@27@;@10@;@99,52@;@0,48@;@50@;@10,114
"6108190000"@;@1 819@;@20 534@;@78 408 543@;@81 189 952@;@13 438 551@;@64 969 914@;@@;@@;@13 440 448@;@0@;@-483,38@;@5 597,8882@;@55,98@;@24@;@10@;@96,57@;@3,43@;@50@;@-84,476
"6108210000"@;@305 818@;@7 260 469@;@37 064 070@;@38 823 031@;@36 132 837@;@12 027 071@;@1@;@77@;@25 342 817@;@0,82@;@-46,25@;@2 420,5161@;@24,21@;@9@;@70@;@95,47@;@4,53@;@0@;@2,178
"6108220000"@;@363 837@;@2 190@;@97 597@;@103 284@;@97 597@;@@;@@;@@;@459 244@;@78,85@;@78,75@;@2 139,2111@;@21,39@;@3@;@100@;@94,49@;@5,51@;@50@;@63,59
"6108290000"@;@6 501@;@38 951@;@75 654@;@103 597@;@75 654@;@31 127@;@1@;@77@;@51 028@;@7,91@;@-48,26@;@2 454,2033@;@24,54@;@2@;@100@;@73,03@;@26,97@;@0@;@9,912
"6108310000"@;@184 504@;@30 328 897@;@3 279 085@;@3 335 049@;@1 949 576@;@2 623 719@;@1@;@53@;@839 870@;@5,33@;@-290,43@;@3 205,0783@;@32,05@;@12@;@40@;@98,32@;@1,68@;@0@;@-46,954
"6108390000"@;@9 504@;@84 008@;@10 866@;@10 866@;@10 866@;@12 101@;@@;@@;@8 269@;@46,66@;@-31,41@;@5 159,8032@;@51,6@;@2@;@100@;@100@;@0@;@50@;@32,582
"6108910000"@;@38 988@;@12 401 426@;@3 348 378@;@4 406 478@;@3 344 145@;@101 284@;@3@;@67,47@;@3 286 082@;@1,15@;@-1,9@;@3 059,8018@;@30,6@;@7@;@70@;@75,99@;@24,01@;@0@;@14,08
"6108990000"@;@9 604@;@884 324@;@567 337@;@607 925@;@510 226@;@35 236@;@5@;@46,5@;@541 705@;@1,66@;@-4,73@;@5 528,8129@;@55,29@;@4@;@70@;@93,32@;@6,68@;@0@;@15,718
"6109100000"@;@6 852 214@;@300 253 646@;@436 324 074@;@879 202 566@;@354 321 914@;@102 963 233@;@48@;@53,03@;@340 213 055@;@1,55@;@-28,25@;@1 521,8938@;@15,22@;@276@;@10@;@49,63@;@50,37@;@0@;@3,27
"6109901000"@;@@;@@;@11 356 608@;@11 782 520@;@11 325 024@;@268 273@;@@;@@;@11 325 024@;@@;@-0,28@;@@;@0@;@19@;@40@;@96,39@;@3,61@;@50@;@6,844
"6109902000"@;@1 346 309@;@657 414@;@72 620 798@;@73 216 529@;@62 170 603@;@5 367 732@;@2@;@49,5@;@68 599 375@;@1,82@;@-5,86@;@1 205,9992@;@12,06@;@13@;@40@;@99,19@;@0,81@;@0@;@5,456
"6109903000"@;@@;@@;@7 607 448@;@7 607 448@;@7 607 448@;@3 713@;@@;@@;@7 607 448@;@@;@0@;@@;@0@;@3@;@100@;@100@;@0@;@50@;@12,5
"6109909000"@;@525 282@;@12 684 237@;@120 467 711@;@127 738 842@;@85 975 623@;@36 376 217@;@8@;@31,51@;@84 616 776@;@0,43@;@-42,37@;@1 482,9178@;@14,83@;@61@;@10@;@94,31@;@5,69@;@0@;@-4,502
"6110111000"@;@35 229@;@150@;@5 734 335@;@5 923 016@;@5 730 899@;@113 713@;@@;@@;@5 655 851@;@0,61@;@-1,39@;@2 565,2491@;@25,65@;@16@;@40@;@96,81@;@3,19@;@50@;@10,566
"6110113000"@;@869 089@;@13 197@;@3 691 560@;@3 691 560@;@162 584@;@3 206 597@;@@;@@;@1 354 052@;@19,06@;@-172,63@;@3 157,8101@;@31,58@;@4@;@70@;@100@;@0@;@50@;@-12,702
"6110119000"@;@558 527@;@37 350@;@167 407@;@167 407@;@155 384@;@12 023@;@@;@@;@676 561@;@76,94@;@75,26@;@3 143,3615@;@31,43@;@1@;@100@;@100@;@0@;@50@;@63,028
"6110121000"@;@@;@@;@10 216@;@10 216@;@10 216@;@@;@@;@@;@10 216@;@@;@0@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@12,5
"6110121009"@;@259 213@;@@;@168 757@;@168 757@;@168 757@;@@;@@;@@;@427 970@;@60,57@;@60,57@;@6 163,7444@;@61,64@;@1@;@100@;@100@;@0@;@50@;@58,042
"6110191001"@;@465@;@@;@9 875@;@9 875@;@9 875@;@@;@@;@@;@10 340@;@4,5@;@4,5@;@10 000@;@100@;@1@;@100@;@100@;@0@;@50@;@30,2
"6110201000"@;@124 867@;@7 134 159@;@60 669 035@;@61 174 267@;@26 462 439@;@34 537 719@;@4@;@89@;@26 256 183@;@0,21@;@-131,07@;@4 290,0742@;@42,9@;@48@;@10@;@99,17@;@0,83@;@0@;@-18,63
"6110209100"@;@2 852 650@;@35 963 961@;@41 932 133@;@43 656 235@;@42 274 004@;@456 102@;@5@;@68,88@;@44 328 681@;@6,37@;@5,41@;@2 161,5345@;@21,62@;@24@;@10@;@96,05@;@3,95@;@0@;@8,23
"6110209900"@;@3 170 956@;@33 033 984@;@13 487 456@;@14 464 143@;@11 938 328@;@1 452 535@;@@;@@;@15 205 877@;@19,04@;@11,3@;@3 295,4099@;@32,95@;@24@;@10@;@93,25@;@6,75@;@50@;@18,976
"6110301000"@;@228 471@;@170 353@;@289 638@;@289 638@;@281 666@;@43 101@;@@;@@;@475 008@;@44,1@;@39,02@;@4 360,4043@;@43,6@;@11@;@40@;@100@;@0@;@50@;@38,444
"6110309100"@;@1 932 685@;@1 659 234@;@1 157 258@;@1 165 217@;@1 041 991@;@452 651@;@1@;@31@;@2 637 292@;@62,55@;@56,12@;@3 537,7523@;@35,38@;@8@;@70@;@99,32@;@0,68@;@0@;@48,644
"6110309900"@;@3 515 192@;@1 123 336@;@7 900@;@7 900@;@7 900@;@@;@@;@@;@2 399 756@;@99,78@;@99,67@;@2 730,1813@;@27,3@;@1@;@100@;@100@;@0@;@50@;@76,446
"6110901000"@;@63 125@;@@;@22 992 559@;@25 947 417@;@17 995 153@;@5 067 191@;@@;@@;@17 988 493@;@0,27@;@-27,82@;@4 184,9662@;@41,85@;@63@;@10@;@88,61@;@11,39@;@50@;@5,444
"6110909000"@;@344 211@;@1 772 904@;@22 385 769@;@22 777 779@;@13 398 566@;@9 523 701@;@1@;@21@;@13 206 279@;@1,51@;@-69,51@;@2 812,9085@;@28,13@;@33@;@10@;@98,28@;@1,72@;@0@;@-7,898
"0406105001"@;@73 077@;@@;@@;@@;@@;@@;@@;@@;@73 077@;@100@;@@;@5 387,9194@;@53,88@;@0@;@100@;@@;@@;@100@;@63,1
"6111201000"@;@398@;@6 865@;@53 731 564@;@60 596 212@;@42 340 700@;@2 884 992@;@@;@@;@50 846 970@;@0@;@-5,67@;@4 736,6536@;@47,37@;@95@;@10@;@88,67@;@11,33@;@50@;@10,566
"6111209000"@;@13 913 476@;@17 513 131@;@36 504 706@;@37 266 411@;@37 749 019@;@6 945 501@;@@;@@;@43 472 681@;@27,6@;@16,03@;@5 950,0041@;@59,5@;@40@;@10@;@97,96@;@2,04@;@50@;@26,846
"6111301000"@;@677@;@@;@301 765@;@334 586@;@231 536@;@148 469@;@@;@@;@153 973@;@0,22@;@-95,99@;@5 130,4382@;@51,3@;@4@;@70@;@90,19@;@9,81@;@50@;@-0,91
"6111309000"@;@1 758 167@;@262 357@;@79 210@;@89 099@;@86 226@;@8 612@;@@;@@;@1 566 408@;@95,69@;@94,94@;@4 835,7361@;@48,36@;@8@;@70@;@88,9@;@11,1@;@50@;@75,164
"6111901100"@;@821@;@@;@9 422 891@;@10 113 017@;@7 313 968@;@6 854 004@;@@;@@;@2 569 708@;@0,01@;@-266,69@;@10 000@;@100@;@5@;@70@;@93,18@;@6,82@;@50@;@-28,134
"6111901900"@;@11 295@;@14 457@;@673 826@;@679 344@;@653 715@;@29 130@;@@;@@;@655 991@;@1,65@;@-2,72@;@3 384,4804@;@33,84@;@7@;@70@;@99,19@;@0,81@;@50@;@14,816
"6111909000"@;@120 702@;@403 556@;@1 944 794@;@2 053 967@;@1 915 065@;@137 334@;@@;@@;@1 928 162@;@5,84@;@-0,86@;@5 278,8427@;@52,79@;@18@;@40@;@94,68@;@5,32@;@50@;@17,064
"6112110000"@;@342 359@;@14 048 014@;@4 593 317@;@4 641 731@;@2 927 376@;@1 694 992@;@11@;@46,73@;@3 240 684@;@6,94@;@-41,74@;@2 047,6208@;@20,48@;@20@;@40@;@98,96@;@1,04@;@0@;@1,628
"6112120000"@;@1 038 451@;@892 419@;@1 384 456@;@1 968 141@;@1 384 456@;@@;@30@;@53,12@;@2 422 907@;@42,86@;@42,86@;@5 873,2265@;@58,73@;@3@;@100@;@70,34@;@29,66@;@0@;@47,516
"6112190000"@;@108 189@;@110 402@;@292 398@;@324 841@;@265 651@;@10 947@;@9@;@45,33@;@389 640@;@27,01@;@24,96@;@2 102,0874@;@21,02@;@2@;@100@;@90,01@;@9,99@;@0@;@29,996
"6112200000"@;@2 886@;@@;@30 871@;@33 958@;@30 871@;@@;@@;@@;@33 757@;@8,55@;@8,55@;@10 000@;@100@;@1@;@100@;@90,91@;@9,09@;@50@;@33,53
"6113001000"@;@24 163@;@@;@598 719@;@626 675@;@598 719@;@@;@8@;@37,12@;@622 882@;@3,88@;@3,88@;@5 005,5778@;@50,06@;@8@;@70@;@95,54@;@4,46@;@0@;@17,228
"6113009000"@;@99 844@;@9 243@;@168 617@;@168 617@;@168 617@;@4 903@;@2@;@52,43@;@263 558@;@37,19@;@36,02@;@5 622,8152@;@56,23@;@4@;@70@;@100@;@0@;@0@;@37,48
"6114200000"@;@137 302@;@2 244 133@;@741 178@;@780 713@;@740 741@;@437@;@13@;@48,39@;@878 043@;@15,63@;@15,59@;@2 328,5796@;@23,29@;@15@;@40@;@94,94@;@5,06@;@0@;@17,37
"6114300000"@;@342 467@;@181 153@;@305 448@;@305 448@;@305 448@;@@;@23@;@45,81@;@647 915@;@52,86@;@52,86@;@2 755,6266@;@27,56@;@7@;@70@;@100@;@0@;@0@;@42,816
"6114900000"@;@9 770@;@12 354@;@349 347@;@351 541@;@349 347@;@2 194@;@10@;@42,09@;@356 923@;@2,72@;@2,12@;@5 316,2134@;@53,16@;@8@;@70@;@99,38@;@0,62@;@0@;@16,612
"6115101000"@;@@;@@;@4 451 339@;@5 671 179@;@4 577 127@;@1 283 359@;@@;@@;@4 577 127@;@@;@2,75@;@@;@0@;@34@;@10@;@78,49@;@21,51@;@50@;@6,25
"6115101001"@;@24 075@;@2 576@;@903 555@;@912 373@;@640 740@;@662 231@;@@;@@;@265 399@;@2,6@;@-240,45@;@6 934,4392@;@69,34@;@11@;@40@;@99,03@;@0,97@;@50@;@-30,05
"6115101002"@;@49 282@;@19 815@;@147 733@;@147 733@;@147 733@;@@;@@;@@;@197 015@;@25,01@;@25,01@;@3 829,1282@;@38,29@;@1@;@100@;@100@;@0@;@50@;@33,206
"6115101009"@;@213 481@;@120 304@;@1 636 116@;@1 859 989@;@1 071 489@;@1 578 191@;@@;@@;@271 406@;@11,54@;@-502,83@;@3 755,6934@;@37,56@;@4@;@70@;@87,96@;@12,04@;@50@;@-79,65
"6115109000"@;@35 094@;@219 508@;@1 360 778@;@1 422 081@;@668 480@;@1 040 338@;@@;@@;@355 534@;@2,51@;@-282,74@;@5 065,8952@;@50,66@;@7@;@70@;@95,69@;@4,31@;@50@;@-38,044
"6115109002"@;@@;@@;@3 651@;@4 381@;@3 651@;@@;@@;@@;@3 651@;@@;@0@;@@;@0@;@1@;@100@;@83,34@;@16,66@;@50@;@14,2
"6115109009"@;@@;@@;@82 074@;@83 182@;@82 074@;@@;@@;@@;@82 074@;@@;@0@;@@;@0@;@2@;@100@;@98,67@;@1,33@;@50@;@12,6
"6115210000"@;@210 555@;@40@;@2 276 072@;@2 356 997@;@1 558 508@;@731 384@;@@;@@;@1 755 243@;@8,47@;@-29,67@;@2 696,0689@;@26,96@;@12@;@40@;@96,57@;@3,43@;@50@;@8,254
"6115220000"@;@258 513@;@100@;@168 883@;@177 439@;@291 817@;@10 942@;@@;@@;@416 354@;@60,49@;@59,44@;@6 157,4482@;@61,57@;@2@;@100@;@95,18@;@4,82@;@50@;@58,284
"6115290000"@;@344 943@;@1 628 020@;@1 162 676@;@1 222 776@;@1 162 676@;@16 734@;@@;@@;@1 490 885@;@22,88@;@22,01@;@4 051,5053@;@40,52@;@5@;@70@;@95,08@;@4,92@;@50@;@29,654
"6115301100"@;@3 913@;@@;@2 478 300@;@2 485 425@;@1 031 059@;@1 447 240@;@@;@@;@1 034 973@;@0,16@;@-139,46@;@3 603,3146@;@36,03@;@5@;@70@;@99,71@;@0,29@;@50@;@-12,928
"6115309000"@;@10 416@;@90 241@;@1 135 841@;@1 193 946@;@1 135 841@;@@;@@;@@;@1 146 257@;@0,91@;@0,91@;@7 670,3145@;@76,7@;@1@;@100@;@95,13@;@4,87@;@50@;@25,046
"6115940000"@;@28 671@;@15 646@;@14 337 527@;@14 387 603@;@10 126 683@;@5 053 711@;@@;@@;@9 312 487@;@0,2@;@-53,96@;@4 885,4414@;@48,85@;@81@;@10@;@99,65@;@0,35@;@50@;@0,088
"6115950000"@;@1 242 830@;@38 708 858@;@6 496 154@;@7 162 818@;@4 880 873@;@3 372 113@;@7@;@47,71@;@4 366 871@;@16,06@;@-48,76@;@2 781,4469@;@27,81@;@37@;@10@;@90,69@;@9,31@;@0@;@2,772
"6115961000"@;@17 292@;@@;@458 971@;@526 495@;@458 971@;@102 525@;@@;@@;@373 738@;@3,63@;@-22,81@;@1 345,7616@;@13,46@;@6@;@70@;@87,17@;@12,83@;@50@;@9,69
"6115963000"@;@@;@@;@5 268@;@5 268@;@5 268@;@@;@@;@@;@5 268@;@@;@0@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@12,5
"6115969100"@;@30 189@;@@;@1 740 356@;@1 745 259@;@1 404 600@;@370 695@;@@;@@;@1 399 850@;@1,71@;@-24,32@;@9 190,2804@;@91,9@;@4@;@70@;@99,72@;@0,28@;@50@;@19,12
"6115969900"@;@413 540@;@1 559 644@;@189 870@;@190 956@;@127 392@;@73 242@;@@;@@;@530 168@;@68,53@;@64,19@;@3 204,2489@;@32,04@;@2@;@100@;@99,43@;@0,57@;@50@;@57,65
"6115990000"@;@139 819@;@192 286@;@28 593 646@;@29 362 507@;@27 906 227@;@1 469 040@;@@;@@;@27 264 425@;@0,49@;@-4,88@;@2 568,8706@;@25,69@;@14@;@40@;@97,38@;@2,62@;@50@;@9,92
"6116102000"@;@377 319@;@76@;@1 650 435@;@1 683 779@;@1 894 562@;@638 908@;@15@;@66,27@;@1 388 846@;@18,61@;@-18,83@;@2 457,3936@;@24,57@;@19@;@40@;@98,02@;@1,98@;@0@;@11,578
"6116108000"@;@37 195@;@29 982@;@84 978@;@98 047@;@84 978@;@@;@6@;@66,25@;@122 173@;@30,44@;@30,44@;@1 724,0566@;@17,24@;@7@;@70@;@86,67@;@13,33@;@0@;@29,164
"6116109001"@;@@;@@;@37 921@;@37 921@;@37 921@;@@;@3@;@63,43@;@37 921@;@@;@0@;@@;@0@;@2@;@100@;@100@;@0@;@0@;@10
"6116109002"@;@828@;@@;@28 441@;@28 441@;@28 441@;@@;@@;@@;@29 269@;@2,83@;@2,83@;@5 002,3762@;@50,02@;@1@;@100@;@100@;@0@;@50@;@21,698
"6116109009"@;@3 055@;@@;@45 361@;@45 361@;@45 361@;@@;@@;@@;@48 416@;@6,31@;@6,31@;@3 433,8798@;@34,34@;@2@;@100@;@100@;@0@;@50@;@21,486
"6116910000"@;@9 294@;@52@;@10 957@;@11 888@;@10 957@;@@;@2@;@54@;@20 251@;@45,89@;@45,89@;@2 227,4496@;@22,27@;@4@;@70@;@92,17@;@7,83@;@0@;@38,634
"6116920000"@;@20 014@;@7 571 011@;@1 950 721@;@1 991 394@;@1 354 401@;@868 141@;@10@;@46,03@;@1 102 594@;@1,02@;@-76,92@;@7 104,618@;@71,05@;@13@;@40@;@97,96@;@2,04@;@0@;@-0,076
"6116930000"@;@107 338@;@@;@145 532@;@145 532@;@145 532@;@2 472@;@2@;@56,26@;@250 398@;@42,45@;@41,88@;@1 442,5087@;@14,43@;@8@;@70@;@100@;@0@;@0@;@34,556
"6116990000"@;@19 139@;@2 177@;@60 402@;@89 305@;@60 402@;@@;@1@;@76@;@79 541@;@24,06@;@24,06@;@3 952,92@;@39,53@;@7@;@70@;@67,64@;@32,36@;@0@;@30,536
"6117100000"@;@142 098@;@88 525@;@1 322 425@;@1 323 486@;@1 321 594@;@1 820@;@@;@@;@1 462 703@;@9,7@;@9,59@;@1 623,1995@;@16,23@;@10@;@70@;@99,92@;@0,08@;@50@;@17,698
"6117801001"@;@914@;@@;@34 739@;@38 213@;@34 739@;@@;@2@;@46,25@;@35 653@;@2,56@;@2,56@;@9 868,8712@;@98,69@;@1@;@100@;@90,91@;@9,09@;@0@;@27,236
"6117801009"@;@145 554@;@13 342@;@28 440@;@28 440@;@28 440@;@@;@2@;@55@;@160 652@;@83,65@;@82,3@;@5 937,3344@;@59,37@;@4@;@70@;@100@;@0@;@0@;@65,82
"6117808001"@;@427@;@1 666@;@1 014 228@;@1 027 195@;@179 065@;@835 163@;@@;@@;@179 492@;@0,04@;@-465,05@;@5 456,6242@;@54,57@;@2@;@100@;@98,74@;@1,26@;@50@;@-72,194
"6117808009"@;@58 326@;@14 468@;@604 044@;@759 595@;@602 875@;@21 216@;@@;@@;@641 154@;@8,81@;@5,79@;@1 439,2773@;@14,39@;@4@;@70@;@79,52@;@20,48@;@50@;@18,382
"6117900000"@;@809 652@;@264 623@;@728 279@;@1 764 161@;@606 783@;@125 822@;@@;@@;@1 412 109@;@52,65@;@48,43@;@9 166,4958@;@91,66@;@6@;@70@;@41,28@;@58,72@;@50@;@59,846
"6201110000"@;@@;@@;@50 930@;@61 990@;@56 237@;@30 667@;@@;@@;@56 237@;@@;@9,44@;@@;@0@;@2@;@100@;@82,16@;@17,84@;@50@;@16,188
"6201129000"@;@@;@@;@29 915@;@29 915@;@29 915@;@@;@@;@@;@29 915@;@@;@0@;@@;@0@;@2@;@100@;@100@;@0@;@50@;@12,5
"6201131000"@;@@;@@;@23 267@;@23 267@;@23 267@;@@;@@;@@;@23 267@;@@;@0@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@12,5
"6201190000"@;@@;@@;@35 040@;@35 040@;@35 040@;@10 657@;@@;@@;@35 040@;@@;@0@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@12,5
"6201200000"@;@958 047@;@1 160 060@;@778 638@;@778 638@;@778 638@;@@;@@;@@;@1 736 685@;@55,17@;@55,17@;@3 583,502@;@35,84@;@1@;@100@;@100@;@0@;@50@;@51,002
