"tnved_code"@;@"imp_usd"@;@"exp_usd"@;@"manufacture_usd"@;@"power_usd"@;@"sold_usd"@;@"left_usd"@;@"certificates_count"@;@"avg_localization_rate"@;@"market"@;@"iz"@;@"rp"@;@"hhi"@;@"ci"@;@"manufacturers_count"@;@"pr"@;@"capacity_utilization"@;@"mp"@;@"st"@;@"iri"
"8474200003"@;@4 237 521@;@122 181@;@2 564@;@2 564@;@2 564@;@@;@@;@@;@4 117 904@;@99,94@;@99,94@;@3 713,1142@;@37,13@;@1@;@100@;@100@;@0@;@50@;@78,064
"8474200008"@;@167 927 777@;@315 707@;@766@;@766@;@766@;@@;@5@;@18,87@;@167 612 836@;@100@;@100@;@4 672,2362@;@46,72@;@1@;@100@;@100@;@0@;@0@;@77
"8474310000"@;@@;@@;@1 983@;@1 983@;@1 983@;@@;@@;@@;@1 983@;@@;@0@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@12,5
"8474390009"@;@7 651 819@;@84 830@;@94 747@;@94 747@;@94 747@;@@;@@;@@;@7 661 736@;@98,78@;@98,76@;@3 915,7473@;@39,16@;@3@;@100@;@100@;@0@;@50@;@77,664
"8474399009"@;@@;@@;@86 902@;@86 902@;@86 902@;@@;@@;@@;@86 902@;@@;@0@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@12,5
"8474809080"@;@54 840 564@;@200 497@;@1 896@;@1 896@;@1 896@;@@;@@;@@;@54 641 963@;@100@;@100@;@3 467,0632@;@34,67@;@1@;@100@;@100@;@0@;@50@;@77,7
"8474901000"@;@4 009 842@;@1 405@;@5 140 013@;@5 171 796@;@3 281 491@;@1 949 156@;@7@;@60,24@;@7 200 699@;@43,82@;@28,62@;@2 464,8142@;@24,65@;@11@;@40@;@99,39@;@0,61@;@0@;@31,052
"8474909000"@;@110 562 488@;@84 804@;@1 993 465@;@1 996 934@;@1 551 581@;@317 230@;@78@;@56,73@;@112 153 919@;@98,23@;@98,22@;@8 788,093@;@87,88@;@10@;@70@;@99,83@;@0,17@;@0@;@79,136
"8475100000"@;@93 851@;@@;@117 898@;@117 898@;@117 898@;@15 057@;@@;@@;@196 692@;@44,32@;@40,06@;@10 000@;@100@;@1@;@100@;@100@;@0@;@50@;@53,24
"8475290000"@;@7 264 240@;@@;@769 840@;@789 033@;@769 840@;@@;@@;@@;@8 034 080@;@90,42@;@90,42@;@3 381,6303@;@33,82@;@1@;@100@;@97,57@;@2,43@;@50@;@72,052
"8477100000"@;@@;@@;@1 666 564@;@1 682 193@;@1 666 564@;@@;@@;@@;@1 666 564@;@@;@0@;@@;@0@;@5@;@70@;@99,07@;@0,93@;@50@;@9,6
"8477100001"@;@10 551 830@;@@;@49 217@;@50 559@;@49 217@;@@;@@;@@;@10 601 047@;@99,54@;@99,54@;@6 399,083@;@63,99@;@1@;@100@;@97,35@;@2,65@;@50@;@82,124
"8477200000"@;@42 063 350@;@177 715@;@119@;@119@;@@;@119@;@@;@@;@41 885 635@;@100@;@100@;@5 300,2551@;@53@;@1@;@100@;@100@;@0@;@50@;@80,5
"8477809900"@;@@;@@;@62 256@;@66 361@;@62 256@;@13 573@;@@;@@;@62 256@;@@;@0@;@@;@0@;@1@;@100@;@93,81@;@6,19@;@50@;@13,1
"8477901000"@;@@;@@;@31 371@;@37 059@;@31 371@;@@;@@;@@;@31 371@;@@;@0@;@@;@0@;@3@;@100@;@84,65@;@15,35@;@50@;@14
"8477908000"@;@@;@@;@24 398@;@24 398@;@24 672@;@529@;@@;@@;@24 672@;@@;@1,11@;@@;@0@;@2@;@100@;@100@;@0@;@50@;@12,722
"8477909000"@;@4 664 523@;@753 753@;@1 751@;@1 751@;@1 751@;@@;@@;@@;@3 912 521@;@99,96@;@99,96@;@2 045,382@;@20,45@;@1@;@100@;@100@;@0@;@50@;@75,576
"8478900000"@;@1 117 200@;@4 959@;@24 494@;@33 401@;@24 494@;@@;@@;@@;@1 136 735@;@97,85@;@97,85@;@3 819,5131@;@38,2@;@1@;@100@;@73,33@;@26,67@;@50@;@79,61
"8479100000"@;@19 831 514@;@416 290@;@4 480 355@;@5 003 054@;@4 826 994@;@512 957@;@1@;@31,2@;@23 382 622@;@81,57@;@80,84@;@3 124,4871@;@31,24@;@2@;@100@;@89,55@;@10,45@;@0@;@64,496
"8479820000"@;@32 788 054@;@543 421@;@8 937@;@8 937@;@8 937@;@@;@1@;@1@;@32 253 570@;@99,97@;@99,97@;@3 972,8263@;@39,73@;@4@;@70@;@100@;@0@;@0@;@72,982
"8479902000"@;@@;@@;@305 074@;@316 549@;@49 849@;@255 226@;@@;@@;@49 849@;@@;@-512@;@@;@0@;@2@;@100@;@96,37@;@3,63@;@50@;@-89,5
"8479908000"@;@@;@@;@652 288@;@652 288@;@652 288@;@@;@@;@@;@652 288@;@@;@0@;@@;@0@;@3@;@100@;@100@;@0@;@50@;@12,5
"8480100000"@;@4 399@;@150@;@21 101@;@21 101@;@21 101@;@@;@@;@@;@25 500@;@17,25@;@17,25@;@9 690,9298@;@96,91@;@2@;@100@;@100@;@0@;@50@;@37,35
"8480309000"@;@68 151@;@335@;@106 530@;@119 610@;@107 406@;@3 763@;@@;@@;@170 918@;@39,01@;@37,67@;@7 176,6802@;@71,77@;@5@;@70@;@89,06@;@10,94@;@50@;@44,538
"8480600000"@;@1 507 127@;@538 462@;@201 222@;@202 488@;@205 298@;@79 005@;@4@;@23,8@;@1 090 882@;@88,22@;@81,55@;@3 514,8323@;@35,15@;@1@;@100@;@99,37@;@0,63@;@0@;@66,998
