"id"@;@"region_soato"@;@"region_cad"@;@"region_name_uz"@;@"district_soato"@;@"district_cad"@;@"district_name_uz"@;@"area"@;@"region_name_oz"@;@"region_name_ru"@;@"region_name_qq"@;@"district_name_oz"@;@"district_name_ru"@;@"district_name_qq"@;@"district_title_oz"@;@"district_title_uz"@;@"district_title_ru"@;@"district_title_qq"
141@;@1 722@;@"0"@;@Surxondaryo viloyati@;@1 722 215@;@"19:06:00"@;@Qiziriq tumani@;@396,658173@;@Сурхондарё вилояти@;@Сурхандарьинская область@;@Surxondaryo wálayatı @;@Қизириқ тумани@;@Кызылский район@;@Qıziriq rayonı @;@@;@@;@@;@
186@;@1 733@;@"0"@;@Xorazm viloyati@;@1 733 406@;@"22:12:00"@;@Xiva@;@34,1789474@;@Xorazm viloyati@;@Хорезмская область@;@Xorezm wálayatı @;@Хива@;@Хива@;@Xiva@;@@;@@;@@;@
220@;@1 727@;@"0"@;@Toshkent viloyati@;@1 727 424@;@"11:22:00"@;@Yangiyo'l@;@14,9290323@;@Тошкент вилояти@;@Ташкентская область@;@Tashkent wálayatı @;@Янгийўл@;@Янгиюль@;@Jańayo'l@;@@;@@;@@;@
1@;@1 726@;@"0"@;@Toshkent shahri@;@1 726 262@;@"10:01:00"@;@Uchtepa tumani@;@28,2305737@;@Тошкент шаҳри@;@Город Ташкент@;@Tashkent qalası @;@Учтепа тумани@;@Учтепинский район@;@Uchtepa rayonı @;@@;@@;@@;@
2@;@1 726@;@"0"@;@Toshkent shahri@;@1 726 264@;@"10:02:00"@;@Bektemir tumani@;@33,1650963@;@Тошкент шаҳри@;@Город Ташкент@;@Tashkent qalası @;@Бектемир тумани@;@Бектемирский район@;@Bektemir rayonı @;@@;@@;@@;@
3@;@1 726@;@"0"@;@Toshkent shahri@;@1 726 294@;@"10:03:00"@;@Chilonzor tumani@;@30,5326805@;@Тошкент шаҳри@;@Город Ташкент@;@Tashkent qalası @;@Чилонзор тумани@;@Чиланзарский район@;@Chilonzor rayonı @;@@;@@;@@;@
4@;@1 726@;@"0"@;@Toshkent shahri@;@1 726 290@;@"10:04:00"@;@Yashnobod tumani@;@58,3240471@;@Тошкент шаҳри@;@Город Ташкент@;@Tashkent qalası @;@Яшнобод тумани@;@Яшнабадский район@;@Yashnobod rayonı @;@@;@@;@@;@
11@;@1 726@;@"0"@;@Toshkent shahri@;@1 726 273@;@"10:11:00"@;@Mirobod tumani@;@16,7278099@;@Тошкент шаҳри@;@Город Ташкент@;@Tashkent qalası @;@Миробод тумани@;@Мирабадский район@;@Yashnobod rayonı @;@@;@@;@@;@
12@;@1 726@;@"0"@;@Toshkent shahri@;@1 726 292@;@"10:12:00"@;@Yangihayot tumani@;@44,0786705@;@Тошкент шаҳри@;@Город Ташкент@;@Tashkent qalası @;@Янгиҳаёт тумани@;@Янгиятский район@;@Jańahayot rayonı @;@@;@@;@@;@
9@;@1 726@;@"0"@;@Toshkent shahri@;@1 726 269@;@"10:09:00"@;@Mirzo Ulug'bek tumani@;@59,0995445@;@Тошкент шаҳри@;@Город Ташкент@;@Tashkent qalası @;@Мирзо Улуғбек тумани@;@Мирзо Улугбекский район@;@Mırza Ullıbek rayonı @;@@;@@;@@;@
10@;@1 726@;@"0"@;@Toshkent shahri@;@1 726 277@;@"10:10:00"@;@Shayxontoxur tumani@;@27,0978947@;@Тошкент шаҳри@;@Город Ташкент@;@Tashkent qalası @;@Шайхонтохур тумани@;@Шайхантахурский район@;@Shayıqontoxur rayonı @;@@;@@;@@;@
6@;@1 726@;@"0"@;@Toshkent shahri@;@1 726 283@;@"10:06:00"@;@Sirg'ali tumani@;@52,2261047@;@Тошкент шаҳри@;@Город Ташкент@;@Tashkent qalası @;@Сирғали тумани@;@Сергелийский район@;@Sırǵalı rayonı @;@@;@@;@@;@
7@;@1 726@;@"0"@;@Toshkent shahri@;@1 726 266@;@"10:07:00"@;@Yunusobod tumani@;@40,8885231@;@Тошкент шаҳри@;@Город Ташкент@;@Tashkent qalası @;@Юнусобод тумани@;@Юнусабадский район@;@Yunusobod rayonı @;@@;@@;@@;@
187@;@1 733@;@"0"@;@Xorazm viloyati@;@1 733 221@;@"22:13:00"@;@Tuproqqal'a tumani@;@1 932,16858@;@Xorazm viloyati@;@Хорезмская область@;@Xorezm wálayatı @;@Тупроққалъа тумани@;@район Тупроккала@;@Topıraqqal'a rayonı @;@@;@@;@@;@
104@;@1 714@;@"0"@;@Namangan viloyati@;@1 714 242@;@"16:11:00"@;@Yangiqo'rg'on tumani@;@479,785706@;@Наманган вилояти@;@Наманганская область@;@Namangan wálayatı @;@Янгиқўрғон тумани@;@Янгикурганский район@;@Jańaqo'rg'on rayonı @;@@;@@;@@;@
105@;@1 714@;@"0"@;@Namangan viloyati@;@1 714 401@;@"16:12:00"@;@Namangan@;@178,984192@;@Наманган вилояти@;@Наманганская область@;@Namangan wálayatı @;@Наманган@;@Наманган@;@Namangan@;@@;@@;@@;@
122@;@1 710@;@"0"@;@Qashqadaryo viloyati@;@1 710 233@;@"18:01:00"@;@Mirishkor tumani@;@3 102,8999@;@Қашқадарё вилояти@;@Кашкадарьинская область@;@Qashqadárya wálayatı @;@Миришкор тумани@;@Миришкорский район@;@Mirishkor rayonı @;@@;@@;@@;@
123@;@1 710@;@"0"@;@Qashqadaryo viloyati@;@1 710 212@;@"18:02:00"@;@Dehqonobod tumani@;@3 969,31372@;@Қашқадарё вилояти@;@Кашкадарьинская область@;@Qashqadárya wálayatı @;@Деҳқонобод тумани@;@Дехканабадский район@;@Dıyxanobod rayonı @;@@;@@;@@;@
124@;@1 710@;@"0"@;@Qashqadaryo viloyati@;@1 710 237@;@"18:03:00"@;@Kasbi tumani@;@739,295166@;@Қашқадарё вилояти@;@Кашкадарьинская область@;@Qashqadárya wálayatı @;@Касби тумани@;@Район Касби@;@Kásipi rayonı @;@@;@@;@@;@
125@;@1 710@;@"0"@;@Qashqadaryo viloyati@;@1 710 232@;@"18:04:00"@;@Kitob tumani@;@1 737,41687@;@Қашқадарё вилояти@;@Кашкадарьинская область@;@Qashqadárya wálayatı @;@Китоб тумани@;@район Китаб@;@Kitap rayonı @;@@;@@;@@;@
126@;@1 710@;@"0"@;@Qashqadaryo viloyati@;@1 710 229@;@"18:05:00"@;@Koson tumani@;@1 849,36902@;@Қашқадарё вилояти@;@Кашкадарьинская область@;@Qashqadárya wálayatı @;@Косон тумани@;@Касанский район@;@Koson rayonı @;@@;@@;@@;@
127@;@1 710@;@"0"@;@Qashqadaryo viloyati@;@1 710 234@;@"18:06:00"@;@Muborak tumani@;@3 079,17456@;@Қашқадарё вилояти@;@Кашкадарьинская область@;@Qashqadárya wálayatı Qashqadárya wálayatı @;@Муборак тумани@;@Мубаракский район@;@Muborak rayonı @;@@;@@;@@;@
128@;@1 710@;@"0"@;@Qashqadaryo viloyati@;@1 710 235@;@"18:07:00"@;@Nishon tumani@;@2 113,03101@;@Қашқадарё вилояти@;@Кашкадарьинская область@;@Qashqadárya wálayatı @;@Нишон тумани@;@район Нишан@;@Nıshan rayonı @;@@;@@;@@;@
70@;@1 718@;@"0"@;@Samarqand viloyati@;@1 718 233@;@"14:12:00"@;@Samarqand tumani@;@468,808533@;@Самарқанд вилояти@;@Самаркандская область@;@Samarqand wálayatı @;@Самарқанд тумани@;@Самаркандский район@;@Samarqand rayonı @;@@;@@;@@;@
71@;@1 718@;@"0"@;@Samarqand viloyati@;@1 718 238@;@"14:13:00"@;@Tayloq tumani@;@239,458649@;@Самарқанд вилояти@;@Самаркандская область@;@Samarqand wálayatı @;@Тайлоқ тумани@;@Тайлакский район@;@Tayloq rayonı @;@@;@@;@@;@
72@;@1 718@;@"0"@;@Samarqand viloyati@;@1 718 236@;@"14:14:00"@;@Urgut tumani@;@1 149,45129@;@Самарқанд вилояти@;@Самаркандская область@;@Samarqand wálayatı @;@Ургут тумани@;@Ургутский район@;@Urgut rayonı @;@@;@@;@@;@
77@;@1 730@;@"0"@;@Fargona viloyati@;@1 730 212@;@"15:03:00"@;@Buvayda tumani@;@283,630676@;@Фаргона вилояти@;@Ферганская область@;@Fargona wálayatı @;@Бувайда тумани@;@Район Бувайда@;@Buvayda rayonı @;@Бувайда т.@;@Buvayda t.@;@@;@
78@;@1 730@;@"0"@;@Fargona viloyati@;@1 730 236@;@"15:04:00"@;@Dang'ara tumani@;@438,339874@;@Фаргона вилояти@;@Ферганская область@;@Fargona wálayatı @;@Данғара тумани@;@Дангаринский район@;@Dang ' ara rayonı @;@Данғара т.@;@Dang'ara t.@;@@;@
82@;@1 730@;@"0"@;@Fargona viloyati@;@1 730 206@;@"15:08:00"@;@Qo'shtepa tumani@;@369,401917@;@Фаргона вилояти@;@Ферганская область@;@Fargona wálayatı @;@Қўштепа тумани@;@Куштепинский район@;@Qo ' shtepa rayonı @;@Қўштепа т.@;@Qo'shtepa t.@;@@;@
5@;@1 726@;@"0"@;@Toshkent shahri@;@1 726 287@;@"10:05:00"@;@Yakkasaroy tumani@;@14,0656996@;@Тошкент шаҳри@;@Город Ташкент@;@Tashkent qalası @;@Яккасарой тумани@;@Якасарайский район@;@Jalǵızsaroy rayonı @;@@;@@;@@;@
8@;@1 726@;@"0"@;@Toshkent shahri@;@1 726 280@;@"10:08:00"@;@Olmazor tumani@;@33,7813034@;@Тошкент шаҳри@;@Город Ташкент@;@Tashkent qalası @;@Олмазор тумани@;@Алмазарский район@;@Almazor rayonı @;@@;@@;@@;@
52@;@1 708@;@"0"@;@Jizzax viloyati@;@1 708 225@;@"13:07:00"@;@Zafarobod tumani@;@536,129639@;@Жиззах вилояти@;@Джизакская область@;@Jizzaq wálayatı @;@Зафаробод тумани@;@Зафарабадский район@;@Jeńisobod rayonı @;@@;@@;@@;@
53@;@1 708@;@"0"@;@Jizzax viloyati@;@1 708 218@;@"13:08:00"@;@Zomin tumani@;@2 611,51904@;@Жиззах вилояти@;@Джизакская область@;@Jizzaq wálayatı @;@Зомин тумани@;@Зоминский район@;@Zomin rayonı @;@@;@@;@@;@
54@;@1 708@;@"0"@;@Jizzax viloyati@;@1 708 223@;@"13:09:00"@;@Mirzacho'l tumani@;@501,38855@;@Жиззах вилояти@;@Джизакская область@;@Jizzaq wálayatı @;@Мирзачўл тумани@;@Мирзачульский район@;@Xatkercho'l rayonı @;@@;@@;@@;@
